"description","category"
"ACCESS TO QUALITY CARE THROUGH EXTENDING AND STRENGTHENING HEALTH SYSTEMS/+LARGIR L'ACC+S + DES SOINS DE QUALIT+ EN RENFOR¦ANT LES SYST+MES DE SANT+. AQCESS will target communities and populations in select regions in Mali, Mozambique, Kenya and Pakistan where MNCH indicators, such as maternal mortality, skilled birth attendance, stunting prevalence and under five mortality are particularly poor and where women and children still lack access to essential health services. The regions targeted by the project lack adequate numbers of appropriately skilled health workers, have weak health system management, offer care of generally poor quality, and include communities with limited knowledge on how to protect and promote the health of mothers and children, and high levels of gender inequality. This initiative aims to improve the health of mothers, newborns and children through the following activities: (1) equipping and upgrading health facilities for: safer deliveries and newborn care, treating infections and malnutrition, facilitating eHealth applications, and improved disposal of biomedical waste; (2) training facility-based health workers and health care managers on topics including human resource management, use of clinical guidelines, evidence-based decision-making, and gender equality; (3) mobilizing local communities to adopt healthy behaviours; (4) providing essential health services at the community level; (5) training health workers and communities to collect, analyze and use administrative health data and contribute to reporting data through government information systems; and (6) engaging key project stakeholders on the results of project impact assessments and their relevance to policy dialogue. This initiative also includes a public engagement component designed to increase understanding of global MNCH issues among the Canadian public. This initiative is expected to contribute directly to the improved health of approximately 1.3 million people, including over 330,000 children, and 1.5 million people indirectly.Aga Khan Foundation Canada is implementing this project in collaboration with the following local partners: Aga Khan Foundation Mozambique; Aga Khan Health Service, Aga Khan Rural Support Programme and Aga Khan Foundation, in Pakistan; Aga Khan University of East Africa and Aga Khan Health Service (AKHS) East Africa, in Kenya./ Le projet vise l'amTlioration de la santT des mFres, des nouveau-nTs et des enfants dans certaines rTgions. Parmi les activitTs du projet : 1) approvisionnement et rTnovation des Ttablissements de santT pour rendre plus svrs les accouchements et les soins aux nouveau-nTs, traiter les infections et la malnutrition, faciliter l'utilisation des applications ehealth et amTliorer l'Tlimination des dTchets biomTdicaux; 2) formation des travailleurs et des gestionnaires des Ttablissements de santT, notamment sur la gestion des ressources humaines, l'application des directives cliniques, la prise de dTcisions basTes sur les faits et l'TgalitT entre les sexes; 3) mobilisation des communautTs locales pour l'adoption de comportements sains; 4) offre de services de","not_global_func"
"ACCESS TO QUALITY CARE THROUGH EXTENDING AND STRENGTHENING HEALTH SYSTEMS/+LARGIR L'ACC+S + DES SOINS DE QUALIT+ EN RENFOR¦ANT LES SYST+MES DE SANT+. AQCESS will target communities and populations in select regions in Mali, Mozambique, Kenya and Pakistan where MNCH indicators, such as maternal mortality, skilled birth attendance, stunting prevalence and under five mortality are particularly poor and where women and children still lack access to essential health services. The regions targeted by the project lack adequate numbers of appropriately skilled health workers, have weak health system management, offer care of generally poor quality, and include communities with limited knowledge on how to protect and promote the health of mothers and children, and high levels of gender inequality. This initiative aims to improve the health of mothers, newborns and children through the following activities: (1) equipping and upgrading health facilities for: safer deliveries and newborn care, treating infections and malnutrition, facilitating eHealth applications, and improved disposal of biomedical waste; (2) training facility-based health workers and health care managers on topics including human resource management, use of clinical guidelines, evidence-based decision-making, and gender equality; (3) mobilizing local communities to adopt healthy behaviours; (4) providing essential health services at the community level; (5) training health workers and communities to collect, analyze and use administrative health data and contribute to reporting data through government information systems; and (6) engaging key project stakeholders on the results of project impact assessments and their relevance to policy dialogue. This initiative also includes a public engagement component designed to increase understanding of global MNCH issues among the Canadian public. This initiative is expected to contribute directly to the improved health of approximately 1.3 million people, including over 330,000 children, and 1.5 million people indirectly.Aga Khan Foundation Canada is implementing this project in collaboration with the following local partners: Aga Khan Foundation Mozambique; Aga Khan Health Service, Aga Khan Rural Support Programme and Aga Khan Foundation, in Pakistan; Aga Khan University of East Africa and Aga Khan Health Service (AKHS) East Africa, in Kenya./ Le projet vise l'amTlioration de la santT des mFres, des nouveau-nTs et des enfants dans certaines rTgions. Parmi les activitTs du projet : 1) approvisionnement et rTnovation des Ttablissements de santT pour rendre plus svrs les accouchements et les soins aux nouveau-nTs, traiter les infections et la malnutrition, faciliter l'utilisation des applications ehealth et amTliorer l'Tlimination des dTchets biomTdicaux; 2) formation des travailleurs et des gestionnaires des Ttablissements de santT, notamment sur la gestion des ressources humaines, l'application des directives cliniques, la prise de dTcisions basTes sur les faits et l'TgalitT entre les sexes; 3) mobilisation des communautTs locales pour l'adoption de comportements sains; 4) offre de services de","not_global_func"
"ACCESS TO QUALITY CARE THROUGH EXTENDING AND STRENGTHENING HEALTH SYSTEMS/+LARGIR L'ACC+S + DES SOINS DE QUALIT+ EN RENFOR¦ANT LES SYST+MES DE SANT+. AQCESS will target communities and populations in select regions in Mali, Mozambique, Kenya and Pakistan where MNCH indicators, such as maternal mortality, skilled birth attendance, stunting prevalence and under five mortality are particularly poor and where women and children still lack access to essential health services. The regions targeted by the project lack adequate numbers of appropriately skilled health workers, have weak health system management, offer care of generally poor quality, and include communities with limited knowledge on how to protect and promote the health of mothers and children, and high levels of gender inequality. This initiative aims to improve the health of mothers, newborns and children through the following activities: (1) equipping and upgrading health facilities for: safer deliveries and newborn care, treating infections and malnutrition, facilitating eHealth applications, and improved disposal of biomedical waste; (2) training facility-based health workers and health care managers on topics including human resource management, use of clinical guidelines, evidence-based decision-making, and gender equality; (3) mobilizing local communities to adopt healthy behaviours; (4) providing essential health services at the community level; (5) training health workers and communities to collect, analyze and use administrative health data and contribute to reporting data through government information systems; and (6) engaging key project stakeholders on the results of project impact assessments and their relevance to policy dialogue. This initiative also includes a public engagement component designed to increase understanding of global MNCH issues among the Canadian public. This initiative is expected to contribute directly to the improved health of approximately 1.3 million people, including over 330,000 children, and 1.5 million people indirectly.Aga Khan Foundation Canada is implementing this project in collaboration with the following local partners: Aga Khan Foundation Mozambique; Aga Khan Health Service, Aga Khan Rural Support Programme and Aga Khan Foundation, in Pakistan; Aga Khan University of East Africa and Aga Khan Health Service (AKHS) East Africa, in Kenya./ Le projet vise l'amTlioration de la santT des mFres, des nouveau-nTs et des enfants dans certaines rTgions. Parmi les activitTs du projet : 1) approvisionnement et rTnovation des Ttablissements de santT pour rendre plus svrs les accouchements et les soins aux nouveau-nTs, traiter les infections et la malnutrition, faciliter l'utilisation des applications ehealth et amTliorer l'Tlimination des dTchets biomTdicaux; 2) formation des travailleurs et des gestionnaires des Ttablissements de santT, notamment sur la gestion des ressources humaines, l'application des directives cliniques, la prise de dTcisions basTes sur les faits et l'TgalitT entre les sexes; 3) mobilisation des communautTs locales pour l'adoption de comportements sains; 4) offre de services de","not_global_func"
"ACCESS TO QUALITY CARE THROUGH EXTENDING AND STRENGTHENING HEALTH SYSTEMS/+LARGIR L'ACC+S + DES SOINS DE QUALIT+ EN RENFOR¦ANT LES SYST+MES DE SANT+. AQCESS will target communities and populations in select regions in Mali, Mozambique, Kenya and Pakistan where MNCH indicators, such as maternal mortality, skilled birth attendance, stunting prevalence and under five mortality are particularly poor and where women and children still lack access to essential health services. The regions targeted by the project lack adequate numbers of appropriately skilled health workers, have weak health system management, offer care of generally poor quality, and include communities with limited knowledge on how to protect and promote the health of mothers and children, and high levels of gender inequality. This initiative aims to improve the health of mothers, newborns and children through the following activities: (1) equipping and upgrading health facilities for: safer deliveries and newborn care, treating infections and malnutrition, facilitating eHealth applications, and improved disposal of biomedical waste; (2) training facility-based health workers and health care managers on topics including human resource management, use of clinical guidelines, evidence-based decision-making, and gender equality; (3) mobilizing local communities to adopt healthy behaviours; (4) providing essential health services at the community level; (5) training health workers and communities to collect, analyze and use administrative health data and contribute to reporting data through government information systems; and (6) engaging key project stakeholders on the results of project impact assessments and their relevance to policy dialogue. This initiative also includes a public engagement component designed to increase understanding of global MNCH issues among the Canadian public. This initiative is expected to contribute directly to the improved health of approximately 1.3 million people, including over 330,000 children, and 1.5 million people indirectly.Aga Khan Foundation Canada is implementing this project in collaboration with the following local partners: Aga Khan Foundation Mozambique; Aga Khan Health Service, Aga Khan Rural Support Programme and Aga Khan Foundation, in Pakistan; Aga Khan University of East Africa and Aga Khan Health Service (AKHS) East Africa, in Kenya./ Le projet vise l'amTlioration de la santT des mFres, des nouveau-nTs et des enfants dans certaines rTgions. Parmi les activitTs du projet : 1) approvisionnement et rTnovation des Ttablissements de santT pour rendre plus svrs les accouchements et les soins aux nouveau-nTs, traiter les infections et la malnutrition, faciliter l'utilisation des applications ehealth et amTliorer l'Tlimination des dTchets biomTdicaux; 2) formation des travailleurs et des gestionnaires des Ttablissements de santT, notamment sur la gestion des ressources humaines, l'application des directives cliniques, la prise de dTcisions basTes sur les faits et l'TgalitT entre les sexes; 3) mobilisation des communautTs locales pour l'adoption de comportements sains; 4) offre de services de","not_global_func"
"ACCESS TO QUALITY CARE THROUGH EXTENDING AND STRENGTHENING HEALTH SYSTEMS/+LARGIR L'ACC+S + DES SOINS DE QUALIT+ EN RENFOR¦ANT LES SYST+MES DE SANT+. AQCESS will target communities and populations in select regions in Mali, Mozambique, Kenya and Pakistan where MNCH indicators, such as maternal mortality, skilled birth attendance, stunting prevalence and under five mortality are particularly poor and where women and children still lack access to essential health services. The regions targeted by the project lack adequate numbers of appropriately skilled health workers, have weak health system management, offer care of generally poor quality, and include communities with limited knowledge on how to protect and promote the health of mothers and children, and high levels of gender inequality. This initiative aims to improve the health of mothers, newborns and children through the following activities: (1) equipping and upgrading health facilities for: safer deliveries and newborn care, treating infections and malnutrition, facilitating eHealth applications, and improved disposal of biomedical waste; (2) training facility-based health workers and health care managers on topics including human resource management, use of clinical guidelines, evidence-based decision-making, and gender equality; (3) mobilizing local communities to adopt healthy behaviours; (4) providing essential health services at the community level; (5) training health workers and communities to collect, analyze and use administrative health data and contribute to reporting data through government information systems; and (6) engaging key project stakeholders on the results of project impact assessments and their relevance to policy dialogue. This initiative also includes a public engagement component designed to increase understanding of global MNCH issues among the Canadian public. This initiative is expected to contribute directly to the improved health of approximately 1.3 million people, including over 330,000 children, and 1.5 million people indirectly.Aga Khan Foundation Canada is implementing this project in collaboration with the following local partners: Aga Khan Foundation Mozambique; Aga Khan Health Service, Aga Khan Rural Support Programme and Aga Khan Foundation, in Pakistan; Aga Khan University of East Africa and Aga Khan Health Service (AKHS) East Africa, in Kenya./ Le projet vise l'amTlioration de la santT des mFres, des nouveau-nTs et des enfants dans certaines rTgions. Parmi les activitTs du projet : 1) approvisionnement et rTnovation des Ttablissements de santT pour rendre plus svrs les accouchements et les soins aux nouveau-nTs, traiter les infections et la malnutrition, faciliter l'utilisation des applications ehealth et amTliorer l'Tlimination des dTchets biomTdicaux; 2) formation des travailleurs et des gestionnaires des Ttablissements de santT, notamment sur la gestion des ressources humaines, l'application des directives cliniques, la prise de dTcisions basTes sur les faits et l'TgalitT entre les sexes; 3) mobilisation des communautTs locales pour l'adoption de comportements sains; 4) offre de services de","not_global_func"
"ACCESS TO QUALITY CARE THROUGH EXTENDING AND STRENGTHENING HEALTH SYSTEMS/+LARGIR L'ACC+S + DES SOINS DE QUALIT+ EN RENFOR¦ANT LES SYST+MES DE SANT+. AQCESS will target communities and populations in select regions in Mali, Mozambique, Kenya and Pakistan where MNCH indicators, such as maternal mortality, skilled birth attendance, stunting prevalence and under five mortality are particularly poor and where women and children still lack access to essential health services. The regions targeted by the project lack adequate numbers of appropriately skilled health workers, have weak health system management, offer care of generally poor quality, and include communities with limited knowledge on how to protect and promote the health of mothers and children, and high levels of gender inequality. This initiative aims to improve the health of mothers, newborns and children through the following activities: (1) equipping and upgrading health facilities for: safer deliveries and newborn care, treating infections and malnutrition, facilitating eHealth applications, and improved disposal of biomedical waste; (2) training facility-based health workers and health care managers on topics including human resource management, use of clinical guidelines, evidence-based decision-making, and gender equality; (3) mobilizing local communities to adopt healthy behaviours; (4) providing essential health services at the community level; (5) training health workers and communities to collect, analyze and use administrative health data and contribute to reporting data through government information systems; and (6) engaging key project stakeholders on the results of project impact assessments and their relevance to policy dialogue. This initiative also includes a public engagement component designed to increase understanding of global MNCH issues among the Canadian public. This initiative is expected to contribute directly to the improved health of approximately 1.3 million people, including over 330,000 children, and 1.5 million people indirectly.Aga Khan Foundation Canada is implementing this project in collaboration with the following local partners: Aga Khan Foundation Mozambique; Aga Khan Health Service, Aga Khan Rural Support Programme and Aga Khan Foundation, in Pakistan; Aga Khan University of East Africa and Aga Khan Health Service (AKHS) East Africa, in Kenya./ Le projet vise l'amTlioration de la santT des mFres, des nouveau-nTs et des enfants dans certaines rTgions. Parmi les activitTs du projet : 1) approvisionnement et rTnovation des Ttablissements de santT pour rendre plus svrs les accouchements et les soins aux nouveau-nTs, traiter les infections et la malnutrition, faciliter l'utilisation des applications ehealth et amTliorer l'Tlimination des dTchets biomTdicaux; 2) formation des travailleurs et des gestionnaires des Ttablissements de santT, notamment sur la gestion des ressources humaines, l'application des directives cliniques, la prise de dTcisions basTes sur les faits et l'TgalitT entre les sexes; 3) mobilisation des communautTs locales pour l'adoption de comportements sains; 4) offre de services de","not_global_func"
"ACCESS TO QUALITY CARE THROUGH EXTENDING AND STRENGTHENING HEALTH SYSTEMS/+LARGIR L'ACC+S + DES SOINS DE QUALIT+ EN RENFOR¦ANT LES SYST+MES DE SANT+. AQCESS will target communities and populations in select regions in Mali, Mozambique, Kenya and Pakistan where MNCH indicators, such as maternal mortality, skilled birth attendance, stunting prevalence and under five mortality are particularly poor and where women and children still lack access to essential health services. The regions targeted by the project lack adequate numbers of appropriately skilled health workers, have weak health system management, offer care of generally poor quality, and include communities with limited knowledge on how to protect and promote the health of mothers and children, and high levels of gender inequality. This initiative aims to improve the health of mothers, newborns and children through the following activities: (1) equipping and upgrading health facilities for: safer deliveries and newborn care, treating infections and malnutrition, facilitating eHealth applications, and improved disposal of biomedical waste; (2) training facility-based health workers and health care managers on topics including human resource management, use of clinical guidelines, evidence-based decision-making, and gender equality; (3) mobilizing local communities to adopt healthy behaviours; (4) providing essential health services at the community level; (5) training health workers and communities to collect, analyze and use administrative health data and contribute to reporting data through government information systems; and (6) engaging key project stakeholders on the results of project impact assessments and their relevance to policy dialogue. This initiative also includes a public engagement component designed to increase understanding of global MNCH issues among the Canadian public. This initiative is expected to contribute directly to the improved health of approximately 1.3 million people, including over 330,000 children, and 1.5 million people indirectly.Aga Khan Foundation Canada is implementing this project in collaboration with the following local partners: Aga Khan Foundation Mozambique; Aga Khan Health Service, Aga Khan Rural Support Programme and Aga Khan Foundation, in Pakistan; Aga Khan University of East Africa and Aga Khan Health Service (AKHS) East Africa, in Kenya./ Le projet vise l'amTlioration de la santT des mFres, des nouveau-nTs et des enfants dans certaines rTgions. Parmi les activitTs du projet : 1) approvisionnement et rTnovation des Ttablissements de santT pour rendre plus svrs les accouchements et les soins aux nouveau-nTs, traiter les infections et la malnutrition, faciliter l'utilisation des applications ehealth et amTliorer l'Tlimination des dTchets biomTdicaux; 2) formation des travailleurs et des gestionnaires des Ttablissements de santT, notamment sur la gestion des ressources humaines, l'application des directives cliniques, la prise de dTcisions basTes sur les faits et l'TgalitT entre les sexes; 3) mobilisation des communautTs locales pour l'adoption de comportements sains; 4) offre de services de","not_global_func"
"AREAS FOR RESEARCH, ENGAGEMENT. ARENA create a more conducive environment for stakeholders including political actors to generate and participate in inclusive public policy dialogue on big society issues.","not_global_func"
"REDUCING SUGAR-SWEETENED BEVERAGE CONSUMPTION IN ARGENTINA. Argentina is one of the world's highest consumers of sugar-sweetened beverages (predominantly sodas). This project will address the problem, and the rapidly increasing rates of obesity and diabetes among youth and adults, through evidence that supports policy development. Improved policies, better health Argentina has begun to implement important policies to reduce the country's non-communicable disease burden, including policies for tobacco control and reduced salt and trans-fatty acids. There is now a growing regional public health interest in regulating sugar-sweetened beverages to prevent disease. As awareness of the health impacts of soda consumption grows, government and civil society stakeholders are interested in policy options to decrease consumption. Taxing soda consumption This project aims to generate evidence to inform this policy development. It will: -describe the market process from production to distribution and consumption -explore the regulatory and legal framework -examine feasibility challenges and the potential impact of tax increases on soda consumption -explore mechanisms that will enable these taxes to increase Researchers will assess the magnitude of cardiovascular morbidity and mortality associated with consuming sugar-sweetened drinks. They will model the health and health-cost benefits of reduced soda intake associated with price increases over the next decade. The predicted global increase of non-communicable diseases will disproportionally affect women and poor people, so the project's methods will analyze policy impacts by gender and socio-economic status. The research team is composed of public health experts, physicians, lawyers, sociologists, and economists. It also includes high-level staff from the Ministry of Health. The project team will share the results through scientific papers in open access journals, policy briefs, and media releases.","not_global_func"
"ARMAUER HANSEN RESEARCH INSTITUTE (AHRI)  CORE SUPPORT. Armauer Hansen Research Institute (AHRI)  core support","not_global_func"
"ADAPTATION THOUGHT LEADERSHIP AND ANALYSIS (ATLAS). As a consequence of the region's high level of vulnerability and relative lack of adaptive capacity, the need for technical support and capacity building is particularly acute in Africa. The Africa Regional program is allocating $1,075,000 in direct GCC-AD funds to the ATLAS contract to be awarded in September, 2014. This investment supports bilateral analysis in Africa Bureau countries, thought leadership in emerging areas of adaptation, and expert workshops and meetings related to technical areas of adaptation or in support of USAID staff working on adaptation and integration. Countries that will directly benefit from the analysis include Ethiopia and Mozambique. All countries receiving adaptation funds will benefit from the thought leadership and workshops, including Ethiopia, Kenya, Malawi, Mali, Mozambique, Rwanda, Senegal, Tanzania, and Uganda, as well as the regional missions East Africa, West Africa, and Southern Africa.","Health_Advocacy"
"SOUTH SUDAN û IMPROVING HEALTH AND LIVING CONDITIONS - CONCERN WORLDWIDE 2017/SOUDAN DU SUD  - AM+LIORER LES SERVICES DE SANT+ ET LES CONDITIONS DE VI. As of March 2017, an estimated 7.5 million people across South Sudan are in need of humanitarian assistance and protection across the country as a result of armed conflict, inter-communal violence, economic crisis, disease outbreaks and climatic shocks. Approximately 1.85 million people are internally displaced within South Sudan and over 1.4 million South Sudanese have sought protection in neighbouring countries. The civil war, as well as erratic rainfall in some areas, have resulted in 4.6 million people projected to require food assistance, with malnutrition rates over emergency thresholds. Outbreaks of cholera, measles, and hepatitis E have strained an already overwhelmed health system. Humanitarian access remains restricted in many conflict areas and large numbers of people are accessible only by air drops.With GAC's support, Concern Worldwide is helping to improve health and living conditions for up to 91,679 vulnerable internally displaced and vulnerable conflict-affected people in Unity State and Central Equatoria State, South Sudan. Project activities include: (1) rehabilitating two boreholes for 28,800 people in the Bentiu Protection of Civilians site and ten water points for 5,000 people in Guit and Rubkona counties; (2) constructing 200 communal latrines benefitting up to 36,000 people and providing hygiene promotion training; (3) delivering quality outpatient therapeutic programs, targeted supplementary feeding programs and infant and young child feeding servicesat seven nutrition sites for 11,179 malnourished children under five years of age and 1,265 pregnant and lactating women; (4) promoting improved Infant and Young Child Feeding knowledge through 2,680 mother-to-mother support group sessions led by 83 lead mothers./ a venir","not_global_func"
"SOUTH SUDAN û IMPROVING HEALTH AND LIVING CONDITIONS - CONCERN WORLDWIDE 2017/SOUDAN DU SUD  - AM+LIORER LES SERVICES DE SANT+ ET LES CONDITIONS DE VI. As of March 2017, an estimated 7.5 million people across South Sudan are in need of humanitarian assistance and protection across the country as a result of armed conflict, inter-communal violence, economic crisis, disease outbreaks and climatic shocks. Approximately 1.85 million people are internally displaced within South Sudan and over 1.4 million South Sudanese have sought protection in neighbouring countries. The civil war, as well as erratic rainfall in some areas, have resulted in 4.6 million people projected to require food assistance, with malnutrition rates over emergency thresholds. Outbreaks of cholera, measles, and hepatitis E have strained an already overwhelmed health system. Humanitarian access remains restricted in many conflict areas and large numbers of people are accessible only by air drops.With GAC's support, Concern Worldwide is helping to improve health and living conditions for up to 91,679 vulnerable internally displaced and vulnerable conflict-affected people in Unity State and Central Equatoria State, South Sudan. Project activities include: (1) rehabilitating two boreholes for 28,800 people in the Bentiu Protection of Civilians site and ten water points for 5,000 people in Guit and Rubkona counties; (2) constructing 200 communal latrines benefitting up to 36,000 people and providing hygiene promotion training; (3) delivering quality outpatient therapeutic programs, targeted supplementary feeding programs and infant and young child feeding servicesat seven nutrition sites for 11,179 malnourished children under five years of age and 1,265 pregnant and lactating women; (4) promoting improved Infant and Young Child Feeding knowledge through 2,680 mother-to-mother support group sessions led by 83 lead mothers./ a venir","not_global_func"
"SOUTH SUDAN - COMMON HUMANITARIAN FUND -  UNDP 2017/SOUDAN DU SUD  FONDS HUMANITAIRE COMMUN - PNUD 2017. As of March 2017, an estimated 7.5 million people across South Sudan are in need of humanitarian assistance and protection across the country as a result of armed conflict, inter-communal violence, economic crisis, disease outbreaks and climatic shocks. Approximately 1.85 million people are internally displaced within South Sudan and over 1.4 million South Sudanese have sought protection in neighbouring countries. The civil war, as well as erratic rainfall in some areas, have resulted in 4.6 million people projected to require food assistance, with malnutrition rates over emergency thresholds. Outbreaks of cholera, measles, and hepatitis E have strained an already overwhelmed health system. Humanitarian access remains restricted in many conflict areas and large numbers of people are accessible only by air drops.With GAC's support, the South Sudan Common Humanitarian Fund is providing timely allocations to national and international NGOs and United Nations agencies to meet critical humanitarian needs of people throughout the country. The Fund is managed by the United Nations Development Program (UNDP) Multi-Partner Trust Fund Office. Support to the Fund is helping to achieve its objectives, including: (1) promoting early action and response to reduce loss of life; (2) enhancing response to time-critical humanitarian requirements; and (3) strengthening core elements of humanitarian response in underfunded crises./ a venir","not_global_func"
"SOUTH SUDAN - EMERGENCY WATER, SANITATION, HYGIENE AND NUTRITION - WORLD VISION CANADA 2017/SOUDAN DU SUD -AIDE D'URGENCE EN EAU, ASSAINISSEMENT, HYGI. As of March 2017, an estimated 7.5 million people across South Sudan are in need of humanitarian assistance and protection across the country as a result of armed conflict, inter-communal violence, economic crisis, disease outbreaks and climatic shocks. Approximately 1.85 million people are internally displaced within South Sudan and over 1.4 million South Sudanese have sought protection in neighbouring countries. The civil war, as well as erratic rainfall in some areas, have resulted in 4.6 million people projected to require food assistance, with malnutrition rates over emergency thresholds. Outbreaks of cholera, measles, and hepatitis E have strained an already overwhelmed health system. Humanitarian access remains restricted in many conflict areas and large numbers of people are accessible only by air drops.With GAC's support, World Vision Canada is providing emergency water, sanitation, hygiene and nutrition services for up to 81,826 conflict-affected people in Upper Nile state. Project activities include: (1) constructing two new water points, rehabilitating one water treatment plant and forming two community water management committees; (2) constructing 140 sanitation facilities and training 15 hygiene promoters to conduct 16 hygiene awareness campaigns; and (3) implementing Community-based Management of Acute Malnutrition to screen 9,194 children and 3,871 pregnant and lactating women./ a venir","not_global_func"
"SUDAN  EMERGENCY WATER, HYGIENE, LIVELIHOOD AND PROTECTION - OXFAM CANADA  2017-2018/SOUDAN  AIDE D'URGENCE EN EAU, HYGI+NE, MOYENS DE SUBSISTANCE ET. As of March 2017, humanitarian needs in Sudan are mainly caused by the effects of armed conflict, which drives displacement and food insecurity, but are also caused by flooding and droughts and weak governance. In 2016, Sudan experienced a significant inflow of refugees and asylum seekers from South Sudan. As of the beginning of 2017 there are 314,000 South Sudanese in Sudan and the number is expected to grow. Food insecurity and malnutrition constitute a nationwide crisis, with 11 out of the 18 states in Sudan experiencing Global Acute Malnutrition rates at or above the emergency threshold of 15%. Humanitarian needs in Darfur, South Kordofan and Blue Nile States remain high, with 5.8 million people considered to be in need of humanitarian assistance in 2016 compared to 5.4 million in 2015.With GAC's support, Oxfam Canada is providing emergency water, sanitation, hygiene, livelihood and protection interventions for up to 90,500 conflict-affected people in North and South Darfur. Project activities include: (1) maintenance and operations of boreholes, water wells drilled and installed with hand pumps, hand pumps rehabilitated; (2) training hand pump maintenance groups and water committees; (3) training model farmers, 30% of which are women, in agricultural extension, and providing households with seeds and tools; (4) training Community Animal Health Workers, 30% of which are women and treating and vaccinating livestock; (5) providing gender-awareness training./ a venir","not_global_func"
"DAI BUY-IN BAA SUPPORT INTEGRATED WORKFORCE DEVELOPMENT. As part of the new CDCS for Indonesia, USAID investments will strengthen the capacity of GOI institutions engaged in workforce development. This will be accomplished through partnerships with organizations such as GOI workforce development institutions, post-secondary polytechnics, NGOs and private sector organizations. Specific activities implemented through these partnerships will raise the skills of teachers/lecturers, administrators and leaders. It will also propagate innovative instructional, administrative, and decision-making approaches that are responsive to employment demands.Expected results include:?Workforce development improved through public-private partnerships.?GOI implements innovative workforce models by employing international standards of research. ?GOI workforce development policies become more responsive to private sector needs.","not_global_func"
"DAI BUY-IN BAA SUPPORT INTEGRATED WORKFORCE DEVELOPMENT. As part of the new CDCS for Indonesia, USAID investments will strengthen the capacity of GOI institutions engaged in workforce development. This will be accomplished through partnerships with organizations such as GOI workforce development institutions, post-secondary polytechnics, NGOs and private sector organizations. Specific activities implemented through these partnerships will raise the skills of teachers/lecturers, administrators and leaders. It will also propagate innovative instructional, administrative, and decision-making approaches that are responsive to employment demands.Expected results include:?Workforce development improved through public-private partnerships.?GOI implements innovative workforce models by employing international standards of research. ?GOI workforce development policies become more responsive to private sector needs.","not_global_func"
"DAI BUY-IN BAA SUPPORT INTEGRATED WORKFORCE DEVELOPMENT. As part of the new CDCS for Indonesia, USAID investments will strengthen the capacity of GOI institutions engaged in workforce development. This will be accomplished through partnerships with organizations such as GOI workforce development institutions, post-secondary polytechnics, NGOs and private sector organizations. Specific activities implemented through these partnerships will raise the skills of teachers/lecturers, administrators and leaders. It will also propagate innovative instructional, administrative, and decision-making approaches that are responsive to employment demands.Expected results include:?Workforce development improved through public-private partnerships.?GOI implements innovative workforce models by employing international standards of research. ?GOI workforce development policies become more responsive to private sector needs.","not_global_func"
"EMPOWERING HEALTH CARE DECISION-MAKERS TO ACHIEVE REGIONAL NEEDS FOR TOBACCO CONTROL IN LATIN AMERICA. As the burden of chronic diseases continues to grow in Latin America, it is a critical time to advance tobacco control policies. This project will analyze the cost-effectiveness of tobacco control policies and recommend interventions to policymakers. Little progress, pressing need Despite considerable international evidence, several key factors continue to delay the implementation of important measures in the region: misinformation, prejudice, lack of country-level comprehensive data, and pressure from interest groups. This project builds on earlier work on the development and validation of an economic model to estimate the social, economic, and health burden of tobacco, together with the expected impact of tax increases in Argentina, Bolivia, Brazil, Chile, Colombia, Mexico, and Peru. Researchers will develop and evaluate the cost-effectiveness of packages of interventions for tobacco control for these countries. They will also conduct a cost-effectiveness analysis of fiscal policies for tobacco in five other countries: Costa Rica, Ecuador, Honduras, Panama, and Uruguay. Impact of tobacco tax increases The first part of the project will -quantify the disease burden associated with smoking, including its effects on health (years of life lost, quality adjusted life years, disease events) and its economic impact (costs of illness) -quantify the revenue currently obtained from tobacco taxation and compare it with the economic burden of tobacco-related diseases -analyze the impact of raising taxes on cigarettes on government revenues and on smoking prevalence under a wide range of scenarios -quantify the effects of the estimated reductions in smoking prevalence due to tax increases in terms of population health benefits and economic impact -estimate the cost-effectiveness of different tax increase scenarios in each of the participating countries -integrate the data for these five countries with the data generated for the other seven countries: Argentina, Brazil, Bolivia, Chile, Colombia, Mexico, and Peru Evidence packages and cost-effectiveness evaluations The second part of the project will -identify top-priority tobacco control interventions -determine decision-makers' information needs -generate evidence packages with four to six prioritized interventions -generate two to three cost-effectiveness studies for participating countries","Response_Unhealthy_Products"
