,Year,DonorName,RecipientName,ProjectTitle,PurposeCode,ShortDescription,LongDescription,USD_Disbursement_Defl
202,2019,Central Emergency Response Fund,"Caribbean & Central America, regional",Humanitarian assistance and protection to migrants from Venezuela,72010,HUMANITARIAN ASSISTANCE AND PROTECTION TO MIGRANTS FROM VENEZUELA,72010. Humanitarian assistance and protection to migrants from Venezuela. HUMANITARIAN ASSISTANCE AND PROTECTION TO MIGRANTS FROM VENEZUELA. ,1.2
203,2019,Central Emergency Response Fund,"Caribbean & Central America, regional",Humanitarian assistance and protection to migrants from Venezuela,72040,HUMANITARIAN ASSISTANCE AND PROTECTION TO MIGRANTS FROM VENEZUELA,72040. Humanitarian assistance and protection to migrants from Venezuela. HUMANITARIAN ASSISTANCE AND PROTECTION TO MIGRANTS FROM VENEZUELA. ,0.6
204,2019,Central Emergency Response Fund,"Caribbean & Central America, regional",Humanitarian assistance and protection to migrants from Venezuela,72050,HUMANITARIAN ASSISTANCE AND PROTECTION TO MIGRANTS FROM VENEZUELA,72050. Humanitarian assistance and protection to migrants from Venezuela. HUMANITARIAN ASSISTANCE AND PROTECTION TO MIGRANTS FROM VENEZUELA. ,1.2
205,2019,Sweden,Colombia,Action Against Hunger: Humanitarian Support 2018-2020,72010,ACTION AGAINST HUNGER: HUMANITARIAN SUPPORT 2018-2020,"72010. Action Against Hunger: Humanitarian Support 2018-2020. ACTION AGAINST HUNGER: HUMANITARIAN SUPPORT 2018-2020. At the beginning of 2018, 135 million people found themselves in a situation in which they will urgently need humanitarian assistance, and 815 million people – one in nine – still go to bed on an empty stomach each night. Each year Sida undertakes a humanitarian allocation process in which all on-going humanitarian crises are analyzed against a number of objective indicators (e.g. number of people in need), and where the partners most relevant to respond to identified needs in each specific crisis are selected. This is to ensure a real application of the humanitarian principles, and especially the principle of impartiality. The initial funding to Action Against Hunger (AAH) in 2018, which is being encompassed in this decision, is thus based on the Sida humanitarian allocation process that took place in late 2017. A three-year agreement is suggested to be signed with AAH, where additional contributions will be added to the agreement, subject to funds availability, governmental appropriations and Sida needs assessments. A three-year agreement does also allow for strategic multi-year projects, which will increase the possibility to reach durable solutions.For 2018, it is proposed that 180 MSEK is allocated to AAH for the implementation of activities in 18 countries and to support the Rapid Response Mechanism and the SMART Methodology. An additional 21 MSEK is added to the agreement, 13 MSEK and 8 MSEK for activities to be implemented in 2019 and 2020, respectively, which means that the total initial contribution to AAH amounts to 201 MSEK. For a detailed overview of the allocated support to AAH, please see Annex V (Budget summary) to the agreement.AAH is a non-profit organization, previously known as Action Contre La Faim (ACF), which is governed by the French Association Law of July 1, 1901. AAH was founded in 1979 with an explicit goal of responding to humanitarian emergencies, with a main focus on issues relating to malnutrition. The mission of AAH is to reduce and prevent hunger among the most vulnerable populations around the world. Its mandate is to save lives by eliminating hunger through preventing, detecting and treating malnutrition, and to address the underlying causes of hunger.",0.696454
206,2019,Central Emergency Response Fund,El Salvador,Health Assistance Intervention in Response to the 2019 Drought in Five Municipalities in El Salvador,72010,HEALTH ASSISTANCE INTERVENTION IN RESPONSE TO THE 2019 DROUGHT IN FIVE MUNICIPALITIES IN EL SALVADOR,72010. Health Assistance Intervention in Response to the 2019 Drought in Five Municipalities in El Salvador. HEALTH ASSISTANCE INTERVENTION IN RESPONSE TO THE 2019 DROUGHT IN FIVE MUNICIPALITIES IN EL SALVADOR. ,0.215
207,2019,Central Emergency Response Fund,Burundi,Strengthening Ebola Virus Disease Operational Readiness and Preparedness in Burundi.,72010,STRENGTHENING EBOLA VIRUS DISEASE OPERATIONAL READINESS AND PREPAREDNESS IN BURUNDI.,72010. Strengthening Ebola Virus Disease Operational Readiness and Preparedness in Burundi.. STRENGTHENING EBOLA VIRUS DISEASE OPERATIONAL READINESS AND PREPAREDNESS IN BURUNDI.. ,0.819999
208,2019,Central Emergency Response Fund,Niger,Transport du personnel et du cargo humanitaire en support à la situation des réfugiés nigérians à Maradi,72050,TRANSPORT DU PERSONNEL ET DU CARGO HUMANITAIRE EN SUPPORT À LA SITUATION DES RÉFUGIÉS NIGÉRIANS À MARADI,72050. Transport du personnel et du cargo humanitaire en support à la situation des réfugiés nigérians à Maradi. TRANSPORT DU PERSONNEL ET DU CARGO HUMANITAIRE EN SUPPORT À LA SITUATION DES RÉFUGIÉS NIGÉRIANS À MARADI. ,0.197349
209,2019,Sweden,"Africa, regional","BAE, SRHR Lusaka, IBB",13020,"BAE, SRHR LUSAKA, IBB","13020. BAE, SRHR Lusaka, IBB. BAE, SRHR LUSAKA, IBB. The BAE (Bilateral Associate Expert) program was initiated by Sida in 1985, as a complement to the multilateral/UN program, JPO (Junior Professional Officer). The objective of the BAE program is to provide technical assistance to and strengthen capacity of the receiving organization through a young expert. A BAE is a young professional below the age of 33, who holds a university degree and has at least two years of relevant, paid, work experience. In the recruitment process, Sida and the receiving organization look for young professionals with knowledge and skills relevant for the organization, as well as the potential and willingness to learn and grow during the assignment. BAE:s are mainly placed within a cooperating partner organization in the global south, be it local/international NGO:s, public agencies, ministries, etc. working with international development, such as International Planned Parenthood Foundation, Saferworld, Slum Dwellers International, Western Indian Ocean Marine Science Association, Agence de l'Environnement et du Développement Durable in Mali, etc. The receiving organization drafts the ToR and is highly involved in the recruitment process, in order to ensure local ownership. Before deployment, all BAE:s undergo a one week onboarding in Sweden, to prepare for their missions. The BAE contract is for maximum three years and before starting the third year, a BAE may relocate to an Embassy working with international development.",0.244113
210,2019,Sweden,"Bilateral, unspecified",Scaling-up Helping Babies Breathe Quality Improvement Cycle (HBB-QIC) at district level in Nepal,12182,SCALING-UP HELPING BABIES BREATHE QUALITY IMPROVEMENT CYCLE (HBB-QIC) AT DISTRICT LEVEL IN NEPAL,"12182. Scaling-up Helping Babies Breathe Quality Improvement Cycle (HBB-QIC) at district level in Nepal. SCALING-UP HELPING BABIES BREATHE QUALITY IMPROVEMENT CYCLE (HBB-QIC) AT DISTRICT LEVEL IN NEPAL. To further accelerate the rate of reduction of early neonatal mortality and intrapartum stillbirths a simplified neonatal resuscitation protocol: Helping Babies Breathe (HBB) has been developed, which has been shown to reduce intra-partum deaths by about 50%. There is however a need to evaluate different implementation strategies that promote retention of resuscitation skills and facilitate translation of knowledge into clinical practice, and to scale-up such implementation strategies.  We have previously successfully completed an implementation trial of HBB at a tertiary hospital in Kathmandu, Nepal. The HBB protocol was complemented by a Quality Improvement Cycle strategy (QIC) and displayed good retention of skills and significant changes in clinical practice. We now propose a scale-up study at district level of the HBB-QIC concept. The research project till apply a stepped-wedge cluster-randomized controlled design at eight (8) district hospital in different regions of Nepal. To ensure good health and survival for all is at the core of the development research agenda and this project addresses a neglected area with great potential for improvement. With a successful scale-up strategy the HBB-QIC concept can potentially have far-reaching consequences and make a huge contribution to the efforts to reduce the burden of intrapartum deaths.",0.126905
211,2019,Sweden,"South of Sahara, regional",DKT International - DKT - Access to safe and legal abortions,13020,DKT INTERNATIONAL - DKT - ACCESS TO SAFE AND LEGAL ABORTIONS,"13020. DKT International - DKT - Access to safe and legal abortions. DKT INTERNATIONAL - DKT - ACCESS TO SAFE AND LEGAL ABORTIONS. DKT International (US-based non-for-profit) have submitted an application for a regional programme to contribute to improved sexual and reproductive health and rights in six countries in the region (Tanzania, Ethiopia, Kenya, Uganda, DRC, Mozambique). Focus is on decreasing the number of unwanted pregnancies and the availability to safe abortion. By increasing peoples access to a wide range of contraceptives, like IUD and implants, one contributes to their opportunities to decide over their own bodies and fertility. The programme is also specifically focused on young people through efforts to reduce teenage pregnancies and this is intended to help reduce the maternal mortality rates. The programme will also complement the programmes implemented through existing health systems and the public sector which often suffers from lack of resources. This complementing programme with the private sector is intended to contribute to reduced poverty and in the end support economic development. The six countries have demographical similarities when it comes to the large number of Young people, high maternal mortality rates and a huge unmet need for information and health services related to sexual and reproductive health and rights. Access to and the use of modern contraceptives (Contraceptive Prevalence Rates - CPR) is for example in Uganda only 8%. In Ethiopia, which is the second most populated country in Africa with approximately 100 million people, more than 66% are young below 25 years. In Tanzania more than 50% are below the age of 18 and the trend is similar in the remaining countries. There is therefore a great potential to increase the market in the region on access to contraceptives and especially among young people given the demographic similarities. There is also a big potential to build on already ongoing initiatives and existing programmes which DKT is implementing in these six countries.  This regional programme is planned to complement programmes at bilateral in those countries where Sida is working on SRHR. Initial discussions have been held with the Embassies in Kinshasa, Maputo and Dar es Salam. Continuous consultations will be held with these as well as with the Embassies in Kampala and Addis Ababa. There are also clear Connections to Sidas global programme support to strategic partners such as IPAS and IPPF who are also working on SRHR, contraceptives and abortion. Synergies will be explored throughout the programme and there is also a firm interest from DKT International to look at potential connections and collaborations at bilateral level as well as with Sidas partners at global level,of which many are already established collaborating partners with DKT International. DKT International are well established as one of the worlds' main organisations with expertise in Contraceptive Social Marketing (CSM). In Ethiopia DKT is running the largest programme in the country on contraceptives and safe abortion since 1990 and it also represents th",1.586311
212,2019,Sweden,Syrian Arab Republic,OCHA field coordination 2018-21 - OCHA 2018-21,72050,OCHA FIELD COORDINATION 2018-21 - OCHA 2018-21,72050. OCHA field coordination 2018-21 - OCHA 2018-21. OCHA FIELD COORDINATION 2018-21 - OCHA 2018-21. The contribution consists of support to the UN Office for the Coordination of Humanitarian Affairs (OCHA) through funding to its country and regional offices. The contribution also includes support to the IASC Gender and Protection Capacity Project (GenCap and ProCap).,0.222845
213,2019,Austria,Uganda,X-ray machine and accompanying measures in St. Marys Hospital,12191,X-RAY MACHINE AND ACCOMPANYING MEASURES IN ST. MARYS HOSPITAL,12191. X-ray machine and accompanying measures in St. Marys Hospital. X-RAY MACHINE AND ACCOMPANYING MEASURES IN ST. MARYS HOSPITAL. X-ray machine and accompanying measures in St. Marys Hospital in Uganda,0.078361
214,2019,Sweden,Uganda,Development of oral eflornithine for late-stage African sleeping sickness,12182,DEVELOPMENT OF ORAL EFLORNITHINE FOR LATE-STAGE AFRICAN SLEEPING SICKNESS,"12182. Development of oral eflornithine for late-stage African sleeping sickness. DEVELOPMENT OF ORAL EFLORNITHINE FOR LATE-STAGE AFRICAN SLEEPING SICKNESS. Eflornithine is one of only three main-stay drugs registered for the treatment of late-stage human African trypanosomiasis, a uniformly fatal disease if left untreated. Eflornithine is currently recommended as a first line treatment, but due to its complicated intravenous administration, numerous patients are left untreated. A simplified mode of administration would enable more patients having access to treatment. Eflornithine is available as a racemate, a 50:50 mixture of its complementary stereoisomers. L-eflornithine is about 10-20-fold more potent but its absorption after oral dose is less favoured compared with D-eflornithine. The project will explore by non-clinical in vitro, in vivo and pharmacometric methods, a simplified, oral treatment alternative for eflornithine chemotherapy in late-stage T.b. gambiense sleeping sickness by seeking ways to improve the oral absorption of L-eflornithine.",0.035251
215,2019,Sweden,Mozambique,Church of Sweden's Humanitarian Programme 2018-2020,72010,CHURCH OF SWEDEN'S HUMANITARIAN PROGRAMME 2018-2020,"72010. Church of Sweden's Humanitarian Programme 2018-2020. CHURCH OF SWEDEN'S HUMANITARIAN PROGRAMME 2018-2020. This contribution consists of support to Church of Sweden's Humanitarian Programme for 2018-2020.n The suppport consists of three parts: Major HUM-countries, Rapid response and support to methods- and capacity building work.",0.564008
216,2019,World Health Organisation,Philippines,CVCA_755_1.1 HIV and hepatitis,13040,CVCA_755_1.1 HIV AND HEPATITIS,13040. CVCA_755_1.1 HIV and hepatitis. CVCA_755_1.1 HIV AND HEPATITIS. 1.1 HIV and hepatitis,0.076042
217,2019,World Health Organisation,Malawi,AC_253_4.2 Integrated people-centred health services,12281,AC_253_4.2 INTEGRATED PEOPLE-CENTRED HEALTH SERVICES,12281. AC_253_4.2 Integrated people-centred health services. AC_253_4.2 INTEGRATED PEOPLE-CENTRED HEALTH SERVICES. 4.2 Integrated people-centred health services,0.155475
218,2019,World Health Organisation,Madagascar,"AC_252_3.1 Reproductive, maternal, newborn, child and adolescent health",13020,"AC_252_3.1 REPRODUCTIVE, MATERNAL, NEWBORN, CHILD AND ADOLESCENT HEALTH","13020. AC_252_3.1 Reproductive, maternal, newborn, child and adolescent health. AC_252_3.1 REPRODUCTIVE, MATERNAL, NEWBORN, CHILD AND ADOLESCENT HEALTH. 3.1 Reproductive, maternal, newborn, child and adolescent health",0.382506
219,2019,Norway,Guatemala,"Norec, FK Norway, personnell exchange",12261,"NOREC, FK NORWAY, PERSONNELL EXCHANGE","12261. Norec, FK Norway, personnell exchange. NOREC, FK NORWAY, PERSONNELL EXCHANGE. The project aims to to mitigate an identified need to provide effective psychosocial treatment and legal support to victims of violence in local communities. The participants of this exchange project provide psychosocial support to victims of violence, namely women, youth and children in schools and communities. The project also targets the individuals who commit the acts of violence, in an attempt to identify and treat the root causes of the violence.",0.039745
220,2019,Canada,Bangladesh,"icddr,b - Institutional Support 2018-2022/icddr,b - Appui institutionnel 2018-2022",13081,"ICDDR,B - INSTITUTIONAL SUPPORT 2018-2022/ICDDR,B - APPUI INSTITUTIONNEL 2018-2022","13081. icddr,b - Institutional Support 2018-2022/icddr,b - Appui institutionnel 2018-2022. ICDDR,B - INSTITUTIONAL SUPPORT 2018-2022/ICDDR,B - APPUI INSTITUTIONNEL 2018-2022. This grant represents Canada's long-term institutional support to icddr,b, formerly known as the International Centre for Diarrhoeal Disease Research, Bangladesh.  icddr,b uses these funds, along with other donors' funding to achieve its mandate.icddr,b's mandate is to find low-cost innovative solutions to public health problems facing low- and middle-income countries through scientific research. icddr,b's research and health services contribute to the well-being of women and girls in the area of disease prevention and control (including cholera vaccines administered to Rohingya refugees), sexual and reproductive health and rights, prevention and treatment of malnutrition, prevention of child marriage, and the first population-based research on gender-based violence in Bangladesh. As part of icddr,b's 'Core Donor Group' (Canada, UK, Sweden), Canada's funding is supporting the delivery of free health care, especially for women and children, and strengthening icddr,b's operations through investment in research technologies, human resources development, and initiatives to improve icddr,b's effectiveness, efficiency, and long-term viability. / Cette subvention constitue l'appui institutionnel à long terme du Canada à icddr,b - qui était connu sous le nom Centre international de recherche sur les maladies diarrhéiques, Bangladesh, en anglais : International Centre for Disease Research, Bangladesh. icddr,b utilise ces fonds, ainsi que ceux d'autres donateurs, pour la réalisation de son mandat.Le mandat de icddr,b consiste à  trouver des solutions novatrices peu coûteuses aux problèmes de santé publique auxquels sont confrontés les pays à revenu faible ou intermédiaire grâce à la recherche scientifique. La recherche et les services de santé de icddr,b contribuent au bien-être des femmes et des filles dans le domaine de la prévention et du contrôle des maladies (y compris les vaccins cholériques administrés aux réfugiés Rohingya), la santé et les droits sexuels et reproductifs, la prévention de la malnutrition, le mariage des enfants et la première recherche en population sur la violence sexiste au Bangladesh. Faisant partie du groupe de donateurs de base de icddr,b (Canada, Royaume-Uni, Suède), le financement du Canada appuie la prestation gratuite de soins de santé, en particulier pour les femmes et les enfants, et renforce les activités d'icddr,b en investissant dans les technologies de recherche, le développement des ressources humaines, et les initiatives visant à améliorer l'efficacité, l'efficience et la viabilité à long terme d'icddr,b.",0.082894
221,2019,Sweden,Zimbabwe,Diakonia frame 2016-2020,13020,DIAKONIA FRAME 2016-2020,"13020. Diakonia frame 2016-2020. DIAKONIA FRAME 2016-2020. This programme is implemented during a five-year period (as framework organizations may now apply for grants for longer periods than in the past in order to increase aid effectiveness) and it is based on Diakonia's global strategy for 2015-2020. It includes 21 country programs in Africa, Asia, Latin America and the Middle East, and six regional programs and a new global program for innovation in the area of  social and economic justice.  Diakonia is working through local civil society organizations for the overall goal to change unfair structures that generate and uphold inequality, oppression and violence and to work for fulfilment of the right of all people to live a life in dignity. In total 216 partner organizations are included in this application. Operations are focused on the following six areas: human rights (HR), democracy, equality, social and economic justice, conflict and justice, as well as capacity development of partners. What is new compared to the previous contribution is primarily the inclusion of several new regional programs in various areas as well as the global innovation program.Expected results:General expected results are formulated for the six areas. These are linked to the expected results for each program (i.e. by country / regional / global program), which in many cases consist of a selection of results that are identical to the general results. The results at the program level are concretized through indicators.Examples of expected outcomes, one from each region, in some common thematic areas are: Mali: Women's political participation has been strengthened at the local and national levels  (democracy) Bolivia: Gender-based violence has decreased  (gender equality) Bangladesh: The conditions for decent work and fair income have improved  (social and economic justice) Lebanon: The capacity of Diakonia's partners to integrate environment and conflict sensitivity in their work (where relevant) has been improved.  (capacity development)Previous results:Reports often show results in terms of strengthened rights holders and increased capacity of partner organizations.The following examples show previous results in a few areas:Human rights: In Thailand five partner organizations assisted tens of thousands of stateless persons to obtain legal status. This means that they for example have the right to work and study, as well as to access rights-based services.Democracy: In Mali, partner organizations were trained in citizen budget monitoring and analysis of public policies. This has led to increased budgets for health and education in several municipalities. In one province all municipalities published their accounting in 2014, whereas in 2012 none of the municipalities did.Conflict and Justice: Seven partner organizations in Colombia, Honduras and Peru have increased their knowledge of the legal framework and have taken legal action, which in some cases resulted in the return to communities of pieces of land from extractive c",0.08915
222,2019,Norway,Malawi,Support to Health Sector Strategic Plan 2016-2020,12110,SUPPORT TO HEALTH SECTOR STRATEGIC PLAN 2016-2020,12110. Support to Health Sector Strategic Plan 2016-2020. SUPPORT TO HEALTH SECTOR STRATEGIC PLAN 2016-2020. This agreement concerns  support to the Health Sector Strategic plan through the Health Service Joint Fund- established in a bilateral agreement Norway-Govt. of Malawi. The HSJF is a financial mechanism set up for development partners  to support the implementation of the Malawi's' Health System Strategic Plans 2011-2016 and 2016-2021.,10.193721
223,2019,Norway,"South of Sahara, regional",Lake Chad -Contribution to combat sexual and gender-based violence,72010,LAKE CHAD -CONTRIBUTION TO COMBAT SEXUAL AND GENDER-BASED VIOLENCE,72010. Lake Chad -Contribution to combat sexual and gender-based violence. LAKE CHAD -CONTRIBUTION TO COMBAT SEXUAL AND GENDER-BASED VIOLENCE. UNFPA Lake Chad AppealContribution to combat sexual and gender-based violence (SGBV) in humanitarian crises,0.340963
224,2019,Sweden,Liberia,Liberia - Social marketing of reproductive health supplies in sub-Sahara Africa,13020,LIBERIA - SOCIAL MARKETING OF REPRODUCTIVE HEALTH SUPPLIES IN SUB-SAHARA AFRICA,"13020. Liberia - Social marketing of reproductive health supplies in sub-Sahara Africa. LIBERIA - SOCIAL MARKETING OF REPRODUCTIVE HEALTH SUPPLIES IN SUB-SAHARA AFRICA. Sida will procure a supplier to provide social marketing of a comprehensive mix of sexual and reproductive health commodities and devices. Additionally, the supplier will deliver demand generation, training, quality assurance, registration of products, regional added-value, and – where possible – contributions to local and/or regional advocacy efforts to promote access to high-quality contraceptive and safe abortion services and products and to reduce stigma around contraceptive use among unmarried, sexually active young people as well as abortion stigma.The target groups are Sexually active adolescents (10-19 yrs), Married/cohabiting and unmarried young adults (20-24 yrs), married/cohabiting and unmarried women and men over 24 years, and men who have sex with men.The program will take place from 2019-2022.There are three geographical components: 1) A regional West and Central Africa program (at least 10/15 countries, of which Mali must be one), 2) country programs in Democratic Republic of Congo, Liberia and Mozambique, and 3) an option for a regional East African program from 2020 (at least 3 of 5 countries), which will allow Sida to expand the program to another regional program for up to 50 MSEK.The total budget for the program (including the option)  is 365 MSEK.",1.066096
225,2019,Austria,"Bilateral, unspecified",Voluntary contribution to WHO earmarked WHO-Project Supporting Development and Stewardship of new Antibiotics,12110,VOLUNTARY CONTRIBUTION TO WHO EARMARKED WHO-PROJECT SUPPORTING DEVELOPMENT AND STEWARDSHIP OF NEW ANTIBIOTICS,12110. Voluntary contribution to WHO earmarked WHO-Project Supporting Development and Stewardship of new Antibiotics. VOLUNTARY CONTRIBUTION TO WHO EARMARKED WHO-PROJECT SUPPORTING DEVELOPMENT AND STEWARDSHIP OF NEW ANTIBIOTICS. Dedicated contribution to the WHO project 'Supporting Development and Stewardship of new Antibiotics',0.097956
226,2019,Austria,Bangladesh,WP-BGD-MEDEL Hearing Healthcare Services for Bangladesh and Ivory Coast,12220,WP-BGD-MEDEL HEARING HEALTHCARE SERVICES FOR BANGLADESH AND IVORY COAST,"12220. WP-BGD-MEDEL Hearing Healthcare Services for Bangladesh and Ivory Coast. WP-BGD-MEDEL HEARING HEALTHCARE SERVICES FOR BANGLADESH AND IVORY COAST. The aim of the planned project in Bangladesh and the Ivory Coast is to improve the living conditions of people with hearing disabilities, through -  raising awareness of hearing impairment and its causes- creating diagnostic and rehabilitation opportunities for hearing impaired people and- improving the statistical data situation and, among local professionals, the knowledge about hearing impairment and its treatment",0.124287
227,2019,Austria,North Macedonia,FS-MAZ-RotesKreuz; Exploring the emergency button and other support services for older people in Macedonia,12230,FS-MAZ-ROTESKREUZ; EXPLORING THE EMERGENCY BUTTON AND OTHER SUPPORT SERVICES FOR OLDER PEOPLE IN MACEDONIA,12230. FS-MAZ-RotesKreuz; Exploring the emergency button and other support services for older people in Macedonia. FS-MAZ-ROTESKREUZ; EXPLORING THE EMERGENCY BUTTON AND OTHER SUPPORT SERVICES FOR OLDER PEOPLE IN MACEDONIA. The study evaluates the feasibility of the following project objective: The aim of the potential business partnership is the development of support services for elderly people living at home and the testing and implementation of emergency button  services for elderly people by the Macedonian Red Cross.,0
228,2019,Austria,Syrian Arab Republic,Contribution to UNICEF's Humanitarian Action for Children (HAC) in Syria 2019,72010,CONTRIBUTION TO UNICEF'S HUMANITARIAN ACTION FOR CHILDREN (HAC) IN SYRIA 2019,"72010. Contribution to UNICEF's Humanitarian Action for Children (HAC) in Syria 2019. CONTRIBUTION TO UNICEF'S HUMANITARIAN ACTION FOR CHILDREN (HAC) IN SYRIA 2019. This project contributes to improved access to water, sanitation, hygiene (WASH), health and nutrition services for conflict-affected children and their families.",1.119445
229,2019,Austria,Syrian Arab Republic,Humanitaria Relief for People in Syria,72010,HUMANITARIA RELIEF FOR PEOPLE IN SYRIA,"72010. Humanitaria Relief for People in Syria. HUMANITARIA RELIEF FOR PEOPLE IN SYRIA. Transport costs for clothing, furniture, beds, wheelchairs etc.",0.010075
230,2019,Sweden,Chad,Action Against Hunger: Humanitarian Support 2018-2020,72010,ACTION AGAINST HUNGER: HUMANITARIAN SUPPORT 2018-2020,"72010. Action Against Hunger: Humanitarian Support 2018-2020. ACTION AGAINST HUNGER: HUMANITARIAN SUPPORT 2018-2020. At the beginning of 2018, 135 million people found themselves in a situation in which they will urgently need humanitarian assistance, and 815 million people – one in nine – still go to bed on an empty stomach each night. Each year Sida undertakes a humanitarian allocation process in which all on-going humanitarian crises are analyzed against a number of objective indicators (e.g. number of people in need), and where the partners most relevant to respond to identified needs in each specific crisis are selected. This is to ensure a real application of the humanitarian principles, and especially the principle of impartiality. The initial funding to Action Against Hunger (AAH) in 2018, which is being encompassed in this decision, is thus based on the Sida humanitarian allocation process that took place in late 2017. A three-year agreement is suggested to be signed with AAH, where additional contributions will be added to the agreement, subject to funds availability, governmental appropriations and Sida needs assessments. A three-year agreement does also allow for strategic multi-year projects, which will increase the possibility to reach durable solutions.For 2018, it is proposed that 180 MSEK is allocated to AAH for the implementation of activities in 18 countries and to support the Rapid Response Mechanism and the SMART Methodology. An additional 21 MSEK is added to the agreement, 13 MSEK and 8 MSEK for activities to be implemented in 2019 and 2020, respectively, which means that the total initial contribution to AAH amounts to 201 MSEK. For a detailed overview of the allocated support to AAH, please see Annex V (Budget summary) to the agreement.AAH is a non-profit organization, previously known as Action Contre La Faim (ACF), which is governed by the French Association Law of July 1, 1901. AAH was founded in 1979 with an explicit goal of responding to humanitarian emergencies, with a main focus on issues relating to malnutrition. The mission of AAH is to reduce and prevent hunger among the most vulnerable populations around the world. Its mandate is to save lives by eliminating hunger through preventing, detecting and treating malnutrition, and to address the underlying causes of hunger.",0.957624
231,2019,Sweden,Libya,IRC humanitarian multiyear agreement 2018-2020,72010,IRC HUMANITARIAN MULTIYEAR AGREEMENT 2018-2020,72010. IRC humanitarian multiyear agreement 2018-2020. IRC HUMANITARIAN MULTIYEAR AGREEMENT 2018-2020. Humanitarian support through a multi-year agreement with IRC for the period 2018-2020.,0.631986
232,2019,Sweden,Ethiopia,Outdoor and household air pollution-exposure and effects on pregnant women in Africa,12182,OUTDOOR AND HOUSEHOLD AIR POLLUTION-EXPOSURE AND EFFECTS ON PREGNANT WOMEN IN AFRICA,"12182. Outdoor and household air pollution-exposure and effects on pregnant women in Africa. OUTDOOR AND HOUSEHOLD AIR POLLUTION-EXPOSURE AND EFFECTS ON PREGNANT WOMEN IN AFRICA. In 2012, one in eight deaths worldwide resulted from air pollution. For Africa lack of data is a barrier to estimate effects. Satellite images indicate detrimental levels, but monitoring and high resolution outdoor air pollution modelling is lacking. Household air pollution is also a major source of exposure, more knowledge on how different cook stoves, fuels and habits affect exposure is crucial. No high quality study of the effect of outdoor and indoor air pollution on pregnant women in Africa has so far been conducted.   We will investigate consequences of air pollution in a prospective cohort of women recruited during pregnancy at public health facilities in Ethiopia. Outdoor air pollution will be assessed by high quality modelling which combines measurements with Geographical Information System tools and aerial and topographical imaging. Individual exposure will be linked to the model by residential address. Indoor exposure will be assessed by questionnaires and validated by measurements. Emission factors from different fuels and cooking methods, and particle characteristics will be assessed in our Aerosol Lab in Lund. Data on pregnancy outcomes, exposures and confounders will be compiled and epidemiological studies on the effect of outdoor and household air pollution on pregnancy complications will be done.   This study, which will increase knowledge of not only health impact but also of source characteristics, will provide important knowledge for appropriate policy making.",0.042302
233,2019,Sweden,Zimbabwe,SAYWHAT Youths Action for Choice 2018-2021,13020,SAYWHAT YOUTHS ACTION FOR CHOICE 2018-2021,"13020. SAYWHAT Youths Action for Choice 2018-2021. SAYWHAT YOUTHS ACTION FOR CHOICE 2018-2021. The Students and Youth Working on reproductive Health Action Team (SAYWHAT) is registered under the Private and Voluntary Organisation Act (PVO 34/2017). The organisation was formed in 2003 to provide a conducive platform to deliberate on students unmet Sexual and Reproductive Health need. The platform is also a mechanism through which students and youths coordinate themselves to inform Sexual and Reproductive Health and public health policies, programs and practise. Over the years, SAYWHAT has proved to be a dynamic and innovative space, attracting recognition and partnerships from college authorities, the government of Zimbabwe, international and national funding and implementing partners, the Southern African Development Committee, and the Africa Union on matters relating to Sexual and Reproductive Health Rights of students.Background of the contributionAccording to the 2012 Census, about 60% of Zimbabweans are below the age of 24 and this scenario presents socio-economic challenges ranging from inadequacies in health service provision, quality education and unemployment amongst other development facet priorities for young people. The Ministry of Health and Child Care in 2010 launched an Adolescent Sexual and Reproductive Health Strategy which sought to operationalize provisions of the Reproductive Health Policy regarding young people's access to comprehensive sexuality education and related services in a Youth Friendly manner. The Strategy was intended to be co-implemented with the Ministries of Youth, Primary and Secondary Education, Higher and Tertiary Education. Sub-sequent reviews in 2013 and 2016 showed that the Ministries have not fully implemented the ASRH Strategy, thus intended benefits have not accrued to young people in schools (Ministry of Primary and Secondary Education), young people out of schools (Ministry of Youth) and young people in Higher Education (Ministry of Higher and Tertiary Education).The Ministry of Health has rolled out the Sex and Sexuality Life Skills Strategy but most health indicators remain negative for young people with their HIV Prevalence standing at 10% in the 15 – 24-year age group. The Zimbabwe Demographic Health Survey 2015/16 has showed a general decline of HIV Incidence, mortality and morbidity in the reproductive age of 15 – 45 years. However, such has not been enjoyed by young people who still have more than 50% of the new infections, high rates of poor adherence to ART and a higher HIV Mortality rate.The Adolescent Fertility Study of 2016 showed that the Unmet Contraception need for adolescents is at 12,8% and the Contraception Prevalence rate in the same age group is at 10%. The current fertility rate amongst adolescents and young people 15 – 24 is 27% in rural areas and 10% in urban areas. Child bearing has a significant impact on young people's access to quality education, and exposes them to other vulnerabilities such as STIs and Cervical Cancer. Zimbabwe has further recorded high levels of ch",0.52877
